real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg
12:50:35.427,2285.6721,113991,0.108,0.053
12:50:35.427,2285.6921,113992,-0.065,0.035
12:50:35.454,2285.7121,113993,-0.188,0.156
12:50:35.465,2285.7321,113994,-0.109,0.068
12:50:35.498,2285.7521,113995,0.005,0.067
12:50:35.515,2285.7721,113996,0.071,0.175
12:50:35.526,2285.7921,113997,0.113,0.057
12:50:35.542,2285.8121,113998,-0.054,0.009
12:50:35.573,2285.8321,113999,-0.174,0.131
12:50:35.589,2285.8521,114000,-0.355,0.138
12:50:35.616,2285.8721,114001,-0.248,0.187
12:50:35.632,2285.8921,114002,-0.153,0.12
12:50:35.648,2285.9121,114003,-0.327,0.173
12:50:35.664,2285.9321,114004,-0.288,0.045
12:50:35.690,2285.9521,114005,-0.461,-0.004
12:50:35.738,2285.9721,114006,-0.468,0.145
12:50:35.738,2285.9921,114007,-0.366,0.094
12:50:35.754,2286.0121,114008,-0.448,0.233
12:50:35.765,2286.0321,114009,-0.435,0.097
12:50:35.781,2286.0521,114010,-0.525,-0.033
12:50:35.830,2286.0721,114011,-0.418,0.005
12:50:35.830,2286.0921,114012,-0.599,-0.019
12:50:35.857,2286.1121,114013,-0.551,0.107
12:50:35.874,2286.1321,114014,-0.593,0.26
12:50:35.885,2286.1521,114015,-0.649,0.121
12:50:35.901,2286.1721,114016,-0.815,0.186
12:50:35.933,2286.1921,114017,-0.795,0.327
12:50:35.975,2286.2121,114018,-0.933,0.437
12:50:35.981,2286.2321,114019,-0.917,0.301
12:50:35.991,2286.2521,114020,-0.961,0.159
12:50:36.007,2286.2721,114021,-0.845,0.141
12:50:36.023,2286.2921,114022,-0.912,0.001
12:50:36.055,2286.3121,114023,-1.0,0.142
12:50:36.082,2286.3321,114024,-0.906,0.079
12:50:36.082,2286.3521,114025,-0.914,0.23
12:50:36.115,2286.3721,114026,-1.088,0.192
12:50:36.142,2286.3921,114027,-1.255,0.136
12:50:36.142,2286.4121,114028,-1.17,0.227
12:50:36.173,2286.4321,114029,-1.055,0.204
12:50:36.189,2286.4521,114030,-1.198,0.304
12:50:36.216,2286.4721,114031,-1.142,0.196
12:50:36.232,2286.4923,114032,-1.023,0.211
12:50:36.265,2286.5121,114033,-1.199,0.191
12:50:36.265,2286.5321,114034,-1.273,0.338
12:50:36.292,2286.5521,114035,-1.454,0.358
12:50:36.351,2286.5721,114036,-1.367,0.286
12:50:36.352,2286.5921,114037,-1.435,0.153
12:50:36.357,2286.6121,114038,-1.431,0.302
12:50:36.368,2286.6321,114039,-1.323,0.357
12:50:36.384,2286.6521,114040,-1.492,0.315
12:50:36.411,2286.6721,114041,-1.528,0.165
12:50:36.443,2286.6921,114042,-1.48,0.292
12:50:36.443,2286.7121,114043,-1.377,0.242
12:50:36.470,2286.7321,114044,-1.519,0.344
12:50:36.486,2286.7521,114045,-1.451,0.457
12:50:36.502,2286.7721,114046,-1.613,0.406
12:50:36.561,2286.7921,114047,-1.694,0.546
12:50:36.566,2286.8121,114048,-1.826,0.442
12:50:36.566,2286.8321,114049,-1.774,0.328
12:50:36.593,2286.8521,114050,-1.687,0.247
12:50:36.609,2286.8721,114051,-1.742,0.393
12:50:36.625,2286.8921,114052,-1.817,0.254
12:50:36.652,2286.9121,114053,-1.711,0.295
12:50:36.668,2286.9321,114054,-1.864,0.382
12:50:36.684,2286.9521,114055,-2.018,0.299
12:50:36.710,2286.9721,114056,-1.93,0.393
12:50:36.726,2286.9921,114057,-2.085,0.317
12:50:36.742,2287.0121,114058,-1.993,0.4
