real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
21:26:45.033,8933.7551,446494,0.134,0.007,0.134,0.007,0.7588,-0.0332,-0.8843,0.02185,-0.11658,0.00426,1.0051,0.0291,0.0603,-0.05862,0.01306,-0.02598,0.66993,-0.03331,-0.74168,-0.00046,0.72805,0.01969,-0.68524,-0.00036,49.7,53.18,0.02,0.0745
21:26:45.034,8933.7751,446495,0.26,-0.0,0.197,0.003,0.7544,-0.033,-0.8882,0.02238,-0.11871,0.00173,1.0103,0.0278,0.0623,-0.05889,0.01279,-0.02505,0.66967,-0.03332,-0.74191,-0.00046,0.72857,0.019,-0.68471,0.00026,49.72,53.2,0.02,0.0705
21:26:45.035,8933.7951,446496,0.263,0.011,0.219,0.006,0.7568,-0.0327,-0.8892,0.02411,-0.12124,0.00386,1.0068,0.0283,0.062,-0.05929,0.01146,-0.02585,0.66938,-0.03332,-0.74217,-0.00045,0.72832,0.02001,-0.68494,-0.00068,49.71,53.19,0.02,0.0732
21:26:45.044,8933.8151,446497,0.368,0.003,0.256,0.005,0.7578,-0.0325,-0.8923,0.02305,-0.11418,0.00333,1.0061,0.0286,0.0623,-0.05889,0.01346,-0.02625,0.66915,-0.03333,-0.74237,-0.00045,0.72874,0.01913,-0.68452,0.00014,49.71,53.19,0.02,0.0737
21:26:45.074,8933.8351,446498,0.514,0.006,0.308,0.005,0.7573,-0.0308,-0.8865,0.02305,-0.11831,0.0032,1.0073,0.0286,0.0637,-0.05915,0.01359,-0.02598,0.66889,-0.03334,-0.74261,-0.00045,0.72938,0.01956,-0.68383,-0.00028,49.7,53.19,0.02,0.0727
21:26:45.089,8933.8551,446499,0.443,0.006,0.33,0.005,0.7617,-0.0374,-0.8923,0.02398,-0.12271,0.004,1.0063,0.0254,0.0569,-0.05915,0.00986,-0.02491,0.6686,-0.03336,-0.74287,-0.00044,0.72868,0.01922,-0.68458,5e-05,49.7,53.18,0.02,0.0738
21:26:45.104,8933.8751,446500,0.366,0.01,0.335,0.006,0.7576,-0.0359,-0.8872,0.02198,-0.11778,0.0016,1.0049,0.0264,0.0583,-0.05862,0.01306,-0.02571,0.66835,-0.03336,-0.7431,-0.00046,0.72799,0.01893,-0.68533,0.00035,49.7,53.19,0.02,0.0748
21:26:45.119,8933.8951,446501,0.514,0.01,0.358,0.007,0.7563,-0.0352,-0.8872,0.02345,-0.11151,0.00373,1.0103,0.0278,0.0627,-0.05849,0.01466,-0.02491,0.66814,-0.03337,-0.74329,-0.00046,0.72868,0.01904,-0.68459,0.00023,49.7,53.19,0.02,0.0705
21:26:45.149,8933.9151,446502,0.46,0.01,0.369,0.007,0.7585,-0.0366,-0.8923,0.02358,-0.11884,0.00373,1.0103,0.0266,0.0615,-0.05942,0.01332,-0.02465,0.66788,-0.03338,-0.74352,-0.00046,0.72811,0.01848,-0.68521,0.00077,49.7,53.19,0.02,0.0706
21:26:45.164,8933.9351,446503,0.621,0.008,0.394,0.007,0.76,-0.0325,-0.8923,0.02292,-0.11858,0.00333,1.0042,0.0259,0.0627,-0.05836,0.01279,-0.02545,0.66762,-0.03339,-0.74376,-0.00046,0.72884,0.01841,-0.68443,0.00081,49.71,53.19,0.02,0.0751
21:26:45.194,8933.9551,446504,0.544,0.015,0.408,0.008,0.759,-0.0352,-0.8899,0.02252,-0.11964,0.00253,1.0046,0.0281,0.0569,-0.05836,0.01199,-0.02691,0.66736,-0.03341,-0.74399,-0.00046,0.72814,0.01871,-0.68518,0.00055,49.72,53.2,0.02,0.075
21:26:45.209,8933.9751,446505,0.701,0.016,0.432,0.008,0.7585,-0.0352,-0.8936,0.02438,-0.12457,0.0036,1.0037,0.0286,0.064,-0.05889,0.01066,-0.02332,0.66705,-0.03341,-0.74426,-0.00044,0.7288,0.0191,-0.68446,0.00017,49.7,53.18,0.02,0.0754
21:26:45.238,8933.9951,446506,0.615,0.022,0.446,0.01,0.7642,-0.0295,-0.887,0.02105,-0.10685,0.0012,1.0076,0.0278,0.0601,-0.05969,0.01692,-0.02758,0.66687,-0.03342,-0.74442,-0.00048,0.72812,0.01911,-0.68518,0.00017,49.71,53.19,0.02,0.0727
